,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,Metadata_6
SYN_49,0.3617033,0.11456543,0.8703689,0.8412055,0.2220367,0.72198224
SYN_50,0.2433772,0.7353549,0.016547747,0.67279655,0.70498866,0.70003927
SYN_51,0.36871073,0.8880404,0.5192168,0.24951063,0.99498194,0.44023323
SYN_52,0.1806955,0.24504156,0.00067062845,0.7672638,0.31923896,0.4709279
SYN_53,0.6631466,0.16404203,0.66039467,0.7546348,0.3887955,0.05470389
SYN_54,0.9602215,0.8935236,0.9932234,0.63978463,0.2941116,0.4779365
SYN_55,0.06526066,0.6631014,0.59185463,0.10194592,0.17148092,0.55333394
SYN_56,0.27955812,0.8781834,0.6875563,0.99584717,0.18146536,0.04403044
SYN_57,0.1159113,0.09817548,0.66664064,0.9471999,0.3562541,0.063808866
SYN_58,0.25324973,0.64674747,0.6118499,0.9169236,0.41184276,0.8069327
SYN_59,0.9817609,0.62168705,0.59122986,0.98147506,0.20204112,0.4871497
SYN_60,0.97186977,0.90260994,0.3793106,0.19576286,0.59014213,0.54599845
SYN_61,0.4945305,0.5527865,0.49546552,0.25675377,0.341193,0.07048276
SYN_62,0.27183807,0.5643734,0.6352765,0.02973119,0.5232776,0.21274476
SYN_63,0.17962497,0.314401,0.037332408,0.50349283,0.5216521,0.029382104
SYN_64,0.45139188,0.2661759,0.7168386,0.44996148,0.36412603,0.4852398
SYN_65,0.17252766,0.30500466,0.037723184,0.95623684,0.07108763,0.2405302
SYN_66,0.30838504,0.7122194,0.09313318,0.5615528,0.5391488,0.1819559
SYN_67,0.60451835,0.5946996,0.86328757,0.7352166,0.77162796,0.07275166
SYN_68,0.4977226,0.2238486,0.3331512,0.16958976,0.34482098,0.63131607
SYN_69,0.15236776,0.34472755,0.81787765,0.6439231,0.41942537,0.82737666
SYN_70,0.9251256,0.09352686,0.46353164,0.946678,0.9512503,0.003612703
SYN_71,0.70579904,0.68007845,0.51867765,0.062251624,0.6549939,0.57858175
SYN_72,0.14232992,0.77123004,0.08034889,0.31651235,0.09702037,0.20102851
SYN_73,0.57978386,0.788267,0.8476556,0.6244049,0.62964684,0.21115209
SYN_74,0.05278439,0.5448881,0.031088427,0.62026244,0.112374075,0.1553229
SYN_75,0.47790417,0.79338086,0.6412954,0.38311926,0.10104938,0.98342365
SYN_76,0.8988292,0.2492018,0.130558,0.047083247,0.8526685,0.15899692
SYN_77,0.2946428,0.6038857,0.5399722,0.28471068,0.09340242,0.54460406
SYN_78,0.60710967,0.0769225,0.3968578,0.7214935,0.8928516,0.99153435
SYN_79,0.95628184,0.51466304,0.16116877,0.028307531,0.95904857,0.87455976
SYN_80,0.99904794,0.49187496,0.7932541,0.8074446,0.3447188,0.24656796
SYN_81,0.6074008,0.46316957,0.3512372,0.75579727,0.13042425,0.50473696
SYN_82,0.14968379,0.39007774,0.20024623,0.83158594,0.77165943,0.6067722
SYN_83,0.45771447,0.4779397,0.36814004,0.19848031,0.73529613,0.58253586
SYN_84,0.8668575,0.39304408,0.77942044,0.23200932,0.3543605,0.14601307
SYN_85,0.9704747,0.40542322,0.66822934,0.27466464,0.6230101,0.7286787
SYN_86,0.73473805,0.6708578,0.7780604,0.9061925,0.77860785,0.82509327
SYN_87,0.26599842,0.7850077,0.94947547,0.36058038,0.5005047,0.664339
SYN_88,0.030506909,0.48633164,0.27045077,0.7365488,0.8581125,0.78195083
SYN_89,0.7145972,0.17594652,0.7927075,0.880655,0.003447772,0.54953593
SYN_90,0.37149704,0.36611554,0.22538301,0.7018148,0.6726538,0.9849184
SYN_91,0.34380856,0.6028287,0.15716062,0.66348195,0.9442426,0.6470488
SYN_92,0.41313198,0.77736896,0.079315856,0.6376632,0.40398344,0.26722875
SYN_93,0.27514514,0.7563012,0.13169143,0.35317165,0.5332356,0.41073492
SYN_94,0.24481092,0.8849705,0.14954029,0.44290948,0.7523137,0.96191764
SYN_95,0.98824203,0.7741734,0.306962,0.41574246,0.00026628032,0.8609629
SYN_96,0.30569595,0.9031528,0.72514725,0.53398883,0.26294363,0.4100169
SYN_97,0.8688881,0.062105596,0.44329694,0.3285122,0.8262262,0.56381845
SYN_98,0.050942764,0.44610208,0.6021493,0.66387445,0.5963927,0.876232
SYN_99,0.19713205,0.39582846,0.73356944,0.65231967,0.050503876,0.93735486
SYN_100,0.36514705,0.70100087,0.40628988,0.4141343,0.30619133,0.02651045
