,Kingdom,Phylum,Class,Order,Family,Genus,unique
ASV179,,,,,,,ASV179
ASV180,,,,,,,ASV180
ASV181,,,,,,,ASV181
ASV182,,,,,,,ASV182
ASV183,,,,,,,ASV183
ASV184,,,,,,,ASV184
ASV185,,,,,,,ASV185
ASV186,,,,,,,ASV186
ASV187,,,,,,,ASV187
ASV188,,,,,,,ASV188
ASV189,,,,,,,ASV189
ASV190,,,,,,,ASV190
ASV191,,,,,,,ASV191
ASV192,,,,,,,ASV192
ASV193,,,,,,,ASV193
ASV194,,,,,,,ASV194
ASV195,,,,,,,ASV195
ASV196,,,,,,,ASV196
ASV197,,,,,,,ASV197
ASV198,,,,,,,ASV198
ASV199,,,,,,,ASV199
ASV200,,,,,,,ASV200
ASV201,,,,,,,ASV201
ASV202,,,,,,,ASV202
ASV203,,,,,,,ASV203
ASV204,,,,,,,ASV204
ASV205,,,,,,,ASV205
ASV206,,,,,,,ASV206
ASV207,,,,,,,ASV207
ASV208,,,,,,,ASV208
ASV209,,,,,,,ASV209
ASV210,,,,,,,ASV210
ASV211,,,,,,,ASV211
ASV212,,,,,,,ASV212
ASV213,,,,,,,ASV213
ASV214,,,,,,,ASV214
ASV215,,,,,,,ASV215
ASV216,,,,,,,ASV216
ASV217,,,,,,,ASV217
ASV218,,,,,,,ASV218
ASV219,,,,,,,ASV219
ASV220,,,,,,,ASV220
ASV221,,,,,,,ASV221
ASV222,,,,,,,ASV222
ASV223,,,,,,,ASV223
ASV224,,,,,,,ASV224
ASV225,,,,,,,ASV225
ASV226,,,,,,,ASV226
ASV227,,,,,,,ASV227
ASV228,,,,,,,ASV228
ASV229,,,,,,,ASV229
ASV230,,,,,,,ASV230
ASV231,,,,,,,ASV231
ASV232,,,,,,,ASV232
ASV233,,,,,,,ASV233
ASV234,,,,,,,ASV234
ASV235,,,,,,,ASV235
ASV236,,,,,,,ASV236
ASV237,,,,,,,ASV237
ASV238,,,,,,,ASV238
ASV239,,,,,,,ASV239
ASV240,,,,,,,ASV240
ASV241,,,,,,,ASV241
ASV242,,,,,,,ASV242
ASV243,,,,,,,ASV243
ASV244,,,,,,,ASV244
ASV245,,,,,,,ASV245
ASV246,,,,,,,ASV246
ASV247,,,,,,,ASV247
ASV248,,,,,,,ASV248
ASV249,,,,,,,ASV249
ASV250,,,,,,,ASV250
ASV251,,,,,,,ASV251
ASV252,,,,,,,ASV252
ASV253,,,,,,,ASV253
ASV254,,,,,,,ASV254
ASV255,,,,,,,ASV255
ASV256,,,,,,,ASV256
ASV257,,,,,,,ASV257
ASV258,,,,,,,ASV258
ASV259,,,,,,,ASV259
ASV260,,,,,,,ASV260
ASV261,,,,,,,ASV261
ASV262,,,,,,,ASV262
ASV263,,,,,,,ASV263
ASV264,,,,,,,ASV264
ASV265,,,,,,,ASV265
ASV266,,,,,,,ASV266
ASV267,,,,,,,ASV267
ASV268,,,,,,,ASV268
ASV269,,,,,,,ASV269
ASV270,,,,,,,ASV270
ASV271,,,,,,,ASV271
ASV272,,,,,,,ASV272
ASV273,,,,,,,ASV273
ASV274,,,,,,,ASV274
ASV275,,,,,,,ASV275
ASV276,,,,,,,ASV276
ASV277,,,,,,,ASV277
ASV278,,,,,,,ASV278
ASV279,,,,,,,ASV279
ASV280,,,,,,,ASV280
ASV281,,,,,,,ASV281
ASV282,,,,,,,ASV282
ASV283,,,,,,,ASV283
ASV284,,,,,,,ASV284
ASV285,,,,,,,ASV285
ASV286,,,,,,,ASV286
ASV287,,,,,,,ASV287
ASV288,,,,,,,ASV288
ASV289,,,,,,,ASV289
ASV290,,,,,,,ASV290
ASV291,,,,,,,ASV291
ASV292,,,,,,,ASV292
ASV293,,,,,,,ASV293
ASV294,,,,,,,ASV294
ASV295,,,,,,,ASV295
ASV296,,,,,,,ASV296
ASV297,,,,,,,ASV297
ASV298,,,,,,,ASV298
ASV299,,,,,,,ASV299
ASV300,,,,,,,ASV300
ASV301,,,,,,,ASV301
ASV302,,,,,,,ASV302
ASV303,,,,,,,ASV303
ASV304,,,,,,,ASV304
ASV305,,,,,,,ASV305
ASV306,,,,,,,ASV306
ASV307,,,,,,,ASV307
ASV308,,,,,,,ASV308
ASV309,,,,,,,ASV309
ASV310,,,,,,,ASV310
ASV311,,,,,,,ASV311
ASV312,,,,,,,ASV312
ASV313,,,,,,,ASV313
ASV314,,,,,,,ASV314
ASV315,,,,,,,ASV315
ASV316,,,,,,,ASV316
ASV317,,,,,,,ASV317
ASV318,,,,,,,ASV318
ASV319,,,,,,,ASV319
ASV320,,,,,,,ASV320
ASV321,,,,,,,ASV321
ASV322,,,,,,,ASV322
ASV323,,,,,,,ASV323
ASV324,,,,,,,ASV324
ASV325,,,,,,,ASV325
ASV326,,,,,,,ASV326
ASV327,,,,,,,ASV327
ASV328,,,,,,,ASV328
ASV329,,,,,,,ASV329
ASV330,,,,,,,ASV330
ASV331,,,,,,,ASV331
ASV332,,,,,,,ASV332
ASV333,,,,,,,ASV333
ASV334,,,,,,,ASV334
ASV335,,,,,,,ASV335
ASV336,,,,,,,ASV336
ASV337,,,,,,,ASV337
ASV338,,,,,,,ASV338
ASV339,,,,,,,ASV339
ASV340,,,,,,,ASV340
ASV341,,,,,,,ASV341
ASV342,,,,,,,ASV342
ASV343,,,,,,,ASV343
ASV344,,,,,,,ASV344
ASV345,,,,,,,ASV345
ASV346,,,,,,,ASV346
ASV347,,,,,,,ASV347
ASV348,,,,,,,ASV348
ASV349,,,,,,,ASV349
ASV350,,,,,,,ASV350
ASV351,,,,,,,ASV351
ASV352,,,,,,,ASV352
ASV353,,,,,,,ASV353
ASV354,,,,,,,ASV354
ASV355,,,,,,,ASV355
ASV356,,,,,,,ASV356
ASV357,,,,,,,ASV357
ASV358,,,,,,,ASV358
ASV359,,,,,,,ASV359
ASV360,,,,,,,ASV360
ASV361,,,,,,,ASV361
ASV362,,,,,,,ASV362
ASV363,,,,,,,ASV363
ASV364,,,,,,,ASV364
ASV365,,,,,,,ASV365
ASV366,,,,,,,ASV366
ASV367,,,,,,,ASV367
ASV368,,,,,,,ASV368
ASV369,,,,,,,ASV369
ASV370,,,,,,,ASV370
ASV371,,,,,,,ASV371
ASV372,,,,,,,ASV372
ASV373,,,,,,,ASV373
ASV374,,,,,,,ASV374
ASV375,,,,,,,ASV375
ASV376,,,,,,,ASV376
ASV377,,,,,,,ASV377
ASV378,,,,,,,ASV378
ASV379,,,,,,,ASV379
ASV380,,,,,,,ASV380
ASV381,,,,,,,ASV381
ASV382,,,,,,,ASV382
ASV383,,,,,,,ASV383
ASV384,,,,,,,ASV384
ASV385,,,,,,,ASV385
ASV386,,,,,,,ASV386
ASV387,,,,,,,ASV387
ASV388,,,,,,,ASV388
ASV389,,,,,,,ASV389
ASV390,,,,,,,ASV390
ASV391,,,,,,,ASV391
ASV392,,,,,,,ASV392
ASV393,,,,,,,ASV393
ASV394,,,,,,,ASV394
ASV395,,,,,,,ASV395
ASV396,,,,,,,ASV396
ASV397,,,,,,,ASV397
ASV398,,,,,,,ASV398
ASV399,,,,,,,ASV399
ASV400,,,,,,,ASV400
ASV401,,,,,,,ASV401
ASV402,,,,,,,ASV402
ASV403,,,,,,,ASV403
ASV404,,,,,,,ASV404
ASV405,,,,,,,ASV405
ASV406,,,,,,,ASV406
ASV407,,,,,,,ASV407
ASV408,,,,,,,ASV408
ASV409,,,,,,,ASV409
ASV410,,,,,,,ASV410
ASV411,,,,,,,ASV411
ASV412,,,,,,,ASV412
ASV413,,,,,,,ASV413
ASV414,,,,,,,ASV414
ASV415,,,,,,,ASV415
ASV416,,,,,,,ASV416
ASV417,,,,,,,ASV417
ASV418,,,,,,,ASV418
ASV419,,,,,,,ASV419
ASV420,,,,,,,ASV420
ASV421,,,,,,,ASV421
ASV422,,,,,,,ASV422
ASV423,,,,,,,ASV423
ASV424,,,,,,,ASV424
ASV425,,,,,,,ASV425
ASV426,,,,,,,ASV426
ASV427,,,,,,,ASV427
ASV428,,,,,,,ASV428
ASV429,,,,,,,ASV429
ASV430,,,,,,,ASV430
ASV431,,,,,,,ASV431
ASV432,,,,,,,ASV432
ASV433,,,,,,,ASV433
ASV434,,,,,,,ASV434
ASV435,,,,,,,ASV435
ASV436,,,,,,,ASV436
ASV437,,,,,,,ASV437
ASV438,,,,,,,ASV438
ASV439,,,,,,,ASV439
ASV440,,,,,,,ASV440
ASV441,,,,,,,ASV441
ASV442,,,,,,,ASV442
ASV443,,,,,,,ASV443
ASV444,,,,,,,ASV444
ASV445,,,,,,,ASV445
ASV446,,,,,,,ASV446
ASV447,,,,,,,ASV447
ASV448,,,,,,,ASV448
ASV449,,,,,,,ASV449
ASV450,,,,,,,ASV450
ASV451,,,,,,,ASV451
ASV452,,,,,,,ASV452
ASV453,,,,,,,ASV453
ASV454,,,,,,,ASV454
ASV455,,,,,,,ASV455
ASV456,,,,,,,ASV456
ASV457,,,,,,,ASV457
ASV458,,,,,,,ASV458
ASV459,,,,,,,ASV459
ASV460,,,,,,,ASV460
ASV461,,,,,,,ASV461
ASV462,,,,,,,ASV462
ASV463,,,,,,,ASV463
ASV464,,,,,,,ASV464
ASV465,,,,,,,ASV465
ASV466,,,,,,,ASV466
ASV467,,,,,,,ASV467
ASV468,,,,,,,ASV468
ASV469,,,,,,,ASV469
ASV470,,,,,,,ASV470
ASV471,,,,,,,ASV471
ASV472,,,,,,,ASV472
ASV473,,,,,,,ASV473
ASV474,,,,,,,ASV474
ASV475,,,,,,,ASV475
ASV476,,,,,,,ASV476
ASV477,,,,,,,ASV477
ASV478,,,,,,,ASV478
ASV479,,,,,,,ASV479
ASV480,,,,,,,ASV480
ASV481,,,,,,,ASV481
ASV482,,,,,,,ASV482
ASV483,,,,,,,ASV483
ASV484,,,,,,,ASV484
ASV485,,,,,,,ASV485
ASV486,,,,,,,ASV486
ASV487,,,,,,,ASV487
ASV488,,,,,,,ASV488
ASV489,,,,,,,ASV489
ASV490,,,,,,,ASV490
ASV491,,,,,,,ASV491
ASV492,,,,,,,ASV492
ASV493,,,,,,,ASV493
ASV494,,,,,,,ASV494
ASV495,,,,,,,ASV495
ASV496,,,,,,,ASV496
ASV497,,,,,,,ASV497
ASV498,,,,,,,ASV498
ASV499,,,,,,,ASV499
ASV500,,,,,,,ASV500
ASV501,,,,,,,ASV501
ASV502,,,,,,,ASV502
ASV503,,,,,,,ASV503
ASV504,,,,,,,ASV504
ASV505,,,,,,,ASV505
ASV506,,,,,,,ASV506
ASV507,,,,,,,ASV507
ASV508,,,,,,,ASV508
ASV509,,,,,,,ASV509
ASV510,,,,,,,ASV510
ASV511,,,,,,,ASV511
ASV512,,,,,,,ASV512
ASV513,,,,,,,ASV513
ASV514,,,,,,,ASV514
ASV515,,,,,,,ASV515
ASV516,,,,,,,ASV516
ASV517,,,,,,,ASV517
ASV518,,,,,,,ASV518
ASV519,,,,,,,ASV519
ASV520,,,,,,,ASV520
ASV521,,,,,,,ASV521
ASV522,,,,,,,ASV522
ASV523,,,,,,,ASV523
ASV524,,,,,,,ASV524
ASV525,,,,,,,ASV525
ASV526,,,,,,,ASV526
ASV527,,,,,,,ASV527
ASV528,,,,,,,ASV528
ASV529,,,,,,,ASV529
ASV530,,,,,,,ASV530
ASV531,,,,,,,ASV531
ASV532,,,,,,,ASV532
ASV533,,,,,,,ASV533
ASV534,,,,,,,ASV534
ASV535,,,,,,,ASV535
ASV536,,,,,,,ASV536
ASV537,,,,,,,ASV537
ASV538,,,,,,,ASV538
ASV539,,,,,,,ASV539
ASV540,,,,,,,ASV540
ASV541,,,,,,,ASV541
ASV542,,,,,,,ASV542
ASV543,,,,,,,ASV543
ASV544,,,,,,,ASV544
ASV545,,,,,,,ASV545
ASV546,,,,,,,ASV546
ASV547,,,,,,,ASV547
ASV548,,,,,,,ASV548
ASV549,,,,,,,ASV549
ASV550,,,,,,,ASV550
ASV551,,,,,,,ASV551
ASV552,,,,,,,ASV552
ASV553,,,,,,,ASV553
ASV554,,,,,,,ASV554
ASV555,,,,,,,ASV555
ASV556,,,,,,,ASV556
ASV557,,,,,,,ASV557
ASV558,,,,,,,ASV558
ASV559,,,,,,,ASV559
ASV560,,,,,,,ASV560
ASV561,,,,,,,ASV561
ASV562,,,,,,,ASV562
ASV563,,,,,,,ASV563
ASV564,,,,,,,ASV564
ASV565,,,,,,,ASV565
ASV566,,,,,,,ASV566
ASV567,,,,,,,ASV567
ASV568,,,,,,,ASV568
ASV569,,,,,,,ASV569
ASV570,,,,,,,ASV570
ASV571,,,,,,,ASV571
ASV572,,,,,,,ASV572
ASV573,,,,,,,ASV573
ASV574,,,,,,,ASV574
ASV575,,,,,,,ASV575
ASV576,,,,,,,ASV576
ASV577,,,,,,,ASV577
ASV578,,,,,,,ASV578
ASV579,,,,,,,ASV579
ASV580,,,,,,,ASV580
ASV581,,,,,,,ASV581
ASV582,,,,,,,ASV582
ASV583,,,,,,,ASV583
ASV584,,,,,,,ASV584
ASV585,,,,,,,ASV585
ASV586,,,,,,,ASV586
ASV587,,,,,,,ASV587
ASV588,,,,,,,ASV588
ASV589,,,,,,,ASV589
ASV590,,,,,,,ASV590
ASV591,,,,,,,ASV591
ASV592,,,,,,,ASV592
ASV593,,,,,,,ASV593
ASV594,,,,,,,ASV594
ASV595,,,,,,,ASV595
ASV596,,,,,,,ASV596
ASV597,,,,,,,ASV597
ASV598,,,,,,,ASV598
ASV599,,,,,,,ASV599
ASV600,,,,,,,ASV600
ASV601,,,,,,,ASV601
ASV602,,,,,,,ASV602
ASV603,,,,,,,ASV603
ASV604,,,,,,,ASV604
ASV605,,,,,,,ASV605
ASV606,,,,,,,ASV606
ASV607,,,,,,,ASV607
ASV608,,,,,,,ASV608
ASV609,,,,,,,ASV609
ASV610,,,,,,,ASV610
ASV611,,,,,,,ASV611
ASV612,,,,,,,ASV612
ASV613,,,,,,,ASV613
ASV614,,,,,,,ASV614
ASV615,,,,,,,ASV615
ASV616,,,,,,,ASV616
ASV617,,,,,,,ASV617
ASV618,,,,,,,ASV618
ASV619,,,,,,,ASV619
ASV620,,,,,,,ASV620
ASV621,,,,,,,ASV621
ASV622,,,,,,,ASV622
ASV623,,,,,,,ASV623
ASV624,,,,,,,ASV624
ASV625,,,,,,,ASV625
ASV626,,,,,,,ASV626
ASV627,,,,,,,ASV627
ASV628,,,,,,,ASV628
ASV629,,,,,,,ASV629
ASV630,,,,,,,ASV630
ASV631,,,,,,,ASV631
ASV632,,,,,,,ASV632
ASV633,,,,,,,ASV633
ASV634,,,,,,,ASV634
ASV635,,,,,,,ASV635
ASV636,,,,,,,ASV636
ASV637,,,,,,,ASV637
ASV638,,,,,,,ASV638
ASV639,,,,,,,ASV639
ASV640,,,,,,,ASV640
ASV641,,,,,,,ASV641
ASV642,,,,,,,ASV642
ASV643,,,,,,,ASV643
ASV644,,,,,,,ASV644
ASV645,,,,,,,ASV645
ASV646,,,,,,,ASV646
ASV647,,,,,,,ASV647
ASV648,,,,,,,ASV648
ASV649,,,,,,,ASV649
ASV650,,,,,,,ASV650
ASV651,,,,,,,ASV651
ASV652,,,,,,,ASV652
ASV653,,,,,,,ASV653
ASV654,,,,,,,ASV654
ASV655,,,,,,,ASV655
ASV656,,,,,,,ASV656
ASV657,,,,,,,ASV657
ASV658,,,,,,,ASV658
ASV659,,,,,,,ASV659
ASV660,,,,,,,ASV660
ASV661,,,,,,,ASV661
ASV662,,,,,,,ASV662
ASV663,,,,,,,ASV663
ASV664,,,,,,,ASV664
ASV665,,,,,,,ASV665
ASV666,,,,,,,ASV666
ASV667,,,,,,,ASV667
ASV668,,,,,,,ASV668
ASV669,,,,,,,ASV669
ASV670,,,,,,,ASV670
ASV671,,,,,,,ASV671
ASV672,,,,,,,ASV672
ASV673,,,,,,,ASV673
ASV674,,,,,,,ASV674
